TOKEN	WEIGHT
100	-0.007083331735507213
issues	-0.007074474871464822
included	-0.007061138733469683
worked	-0.0070537562742584445
especially	-0.007044624675223367
funding	-0.007038306532837977
apply	-0.0070232220957072294
lost	-0.007022803879067805
nature	-0.007021138090543815
powers	-0.007015360894108314
propose	-0.0070150187923153345
recently	-0.007014462331396934
World	-0.007006283496164184
tomorrow	-0.006993762623882455
expenses	-0.006989737267515696
list	-0.0069843131567634345
individuals	-0.006974728834332219
longer	-0.006969053509338957
alone	-0.006968313541234132
age	-0.006967044409265771
lot	-0.006964093455682364
employment	-0.006963478162963791
Minnesota	-0.006963024739902871
spent	-0.006944259894558969
former	-0.0069433922314047596
appropriated	-0.0069317257769137075
remember	-0.006928485578464415
understood	-0.00691916172718324
prepared	-0.006917614207851147
difficult	-0.006911814089417478
Interior	-0.006896338359665844
Well	-0.006893919651373698
agency	-0.006887305540182811
group	-0.006877823536193311
ground	-0.006873269049694141
common	-0.006872330979150477
Not	-0.006859869428939968
talk	-0.00685940085822139
department	-0.00685874221273411
thus	-0.006836186088875996
supply	-0.006835679543934669
none	-0.006822631571754173
thousands	-0.006821971214076816
forward	-0.0068210645655681895
instance	-0.006818539960576761
talking	-0.006810421727864796
appointed	-0.0068081365197517054
Indians	-0.006808070311628532
across	-0.006806856388818762
ability	-0.0067519470840637945
clearly	-0.0067463232954525715
Dakota	-0.006731333002204042
death	-0.006731010954167228
limit	-0.006726148696221917
concern	-0.006714828369101037
notice	-0.006714813675921573
wants	-0.006702794754279568
Therefore	-0.006701329421072488
domestic	-0.006700572713546736
reserve	-0.006700188524597241
build	-0.006694488783363613
equal	-0.00669410283116806
sir	-0.006693491247750055
compensation	-0.006688073734210756
hard	-0.006675053738279621
statute	-0.006672168533415742
suggested	-0.006665339439148734
principle	-0.006650068804947581
exactly	-0.0066365536301333855
often	-0.006629883881060442
changes	-0.0066215982161276455
written	-0.006621005332234284
miles	-0.00661510829413934
determine	-0.0066036848727563085
official	-0.0065862931157895325
Colorado	-0.006584399073582802
circumstances	-0.006571085314543909
!	-0.006539104595542346
according	-0.0065354524857983735
officials	-0.0065339184971051675
portion	-0.006531345656368816
responsible	-0.006516821127874652
Louisiana	-0.006510875476964984
